seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
videolancer,https://videolancer.gumroad.com,21,40,5,Films > Video Production & Editing > Video Assets & Loops > Premiere Pro,15477,21,1,7.5508,18.03,4.01,160.29,5,0,https://videolancer.gumroad.com/l/aepack,10800,Free Motion Bro Presets for After Effects videolancer Top creator 4.8
jingsketch,https://jingsketch.gumroad.com,5,17,6,Drawing & Painting > Digital Illustration,15357,5,2,7.4923,17.52,15.02,88.13,1,0,https://jingsketch.gumroad.com/l/JingsketchBrushes,9600,Jingsketch Procreate Brushes: Basic 10 Jingsketch Top creator 4.8 (9.6
pablostanley,https://pablostanley.gumroad.com,2,2,2,Drawing & Painting > Digital Illustration > Illustration Kits,9286,2,3,4.5304,0.0,0.0,0.0,2,0,https://pablostanley.gumroad.com/l/openpeeps,9000,Open Peeps Pablo Stanley 4.9 (9K) £0.00+
machin3,https://machin3.gumroad.com,3,4,2,3D > 3D Modeling,4843,3,4,2.3628,45.05,2.01,55.07,0,0,https://machin3.gumroad.com/l/MACHIN3tools,4000,[Addon]MACHIN3tools machin3 Top creator 4.9 (4K) £1.49+
tamberella,https://tamberella.gumroad.com,1,1,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,4100,1,5,2.0003,0.0,0.0,0.0,1,0,https://tamberella.gumroad.com/l/UrGvW,4100,Foliage & Grass Brushset (Photoshop/Procreate) So happy to release thi
foxipaws,https://foxipaws.gumroad.com,13,27,11,3D > VRChat,3908,13,6,1.9066,35.05,35.05,35.07,0,0,https://foxipaws.gumroad.com/l/Dantee,549,Dante Canine/Wolf (PC+QUEST) Facetracking + Good Rank Furry FoxiPaws 5
orb,https://orb.gumroad.com,1,1,1,3D > 3D Assets > ZBrush,3900,1,7,1.9027,0.0,0.0,0.0,1,0,https://orb.gumroad.com/l/nOkHw,3900,"Orb-brushes Pack for Zbrush My name is michael vicente, You may know m"
dstory,https://dstory.gumroad.com,7,7,1,Design > Print & Packaging > Powerpoint,3411,7,8,1.6641,0.0,0.0,0.0,7,0,https://dstory.gumroad.com/l/genshinimpact,1700,Genshin Impact Presentation Template D Story Presentation Templates 5.
rezilloryker,https://rezilloryker.gumroad.com,5,10,4,3D > Avatars > Species,2491,5,9,1.2153,40.05,25.04,45.06,0,0,https://rezilloryker.gumroad.com/l/MYutV,2000,Rexouium Avatar Rexouium is a made up species and the name meaning Rex
maxulichney,https://maxulichney.gumroad.com,6,12,4,Drawing & Painting,2375,6,10,1.1587,17.52,7.02,25.04,0,0,https://maxulichney.gumroad.com/l/watercolormaxpack,824,The Watercolor MaxPack - Brushes for Procreate MaxPacks - Brushes for
rajputrajesh-448,https://rajputrajesh-448.gumroad.com,13,14,2,Design > Fonts,2373,13,11,1.1577,0.0,0.0,0.0,13,0,https://rajputrajesh-448.gumroad.com/l/thundertypeface9,1100,THUNDER Rajesh Rajput 4.9 (1.1K) $0+
gaellevel,https://gaellevel.gumroad.com,6,6,3,Gaming > Streaming,2097,6,12,1.0231,3.0,1.0,10.02,2,0,https://gaellevel.gumroad.com/l/xcass,1300,TikTok Live overlays for Streaming (Live Studio or OBS studio) Gael LE
rafacasari,https://rafacasari.gumroad.com,2,2,1,3D > VRChat > Tools,2062,2,13,1.006,10.02,10.02,10.02,0,0,https://rafacasari.gumroad.com/l/av3creator,1700,Av3Creator - Easy VRChat 3.0 Creation [1.5] Check my other script by c
liindy,https://liindy.gumroad.com,17,26,6,3D > VRChat > Avatar Systems,1883,17,14,0.9187,15.02,3.0,38.06,0,0,https://liindy.gumroad.com/l/SaberKatana,338,Saber/Blade Katana (VRCHAT) Liindy 5.0 (338) £14.87
samhyde,https://samhyde.gumroad.com,3,4,4,Films > Comedy > Sketch,1763,3,15,0.8601,16.03,12.03,22.05,0,0,https://samhyde.gumroad.com/l/kickstartertv,1000,Kickstarter TV Zero accountability. Zero quality. Zero dignity. Zero s
tatyworks,https://tatyworks.gumroad.com,2,2,1,Design > Graphics > Textures & Patterns (2D),1665,2,16,0.8123,0.0,0.0,0.0,2,0,https://tatyworks.gumroad.com/l/TatyWorksFabrics,1100,Fabric Texture Brushes for Procreate by TatyWorks Tatyworks 4.9 (1.1K)
untitledui,https://untitledui.gumroad.com,1,1,1,Design > UI & Web > Figma,1500,1,17,0.7318,129.18,129.18,129.18,0,0,https://untitledui.gumroad.com/l/untitled-ui,1500,Untitled UI Figma – Figma UI kit and design system Untitled UI Top cre
juliawinterpaw,https://juliawinterpaw.gumroad.com,2,4,2,3D > VRChat,1418,2,18,0.6918,0.0,0.0,0.0,2,0,https://juliawinterpaw.gumroad.com/l/canine,1300,Winterpaw's VRChat and VTuber Masc Canine Julia Winterpaw Top creator
keepmaking,https://keepmaking.gumroad.com,2,2,1,3D > 3D Assets > Blender,1415,2,19,0.6903,8.01,8.01,8.01,1,0,https://keepmaking.gumroad.com/l/CADsketcher,1300,CAD Sketcher [ Blender Addon ] Keep Making 4.8 (1.3K) £0.00+
prochitecture,https://prochitecture.gumroad.com,1,1,1,3D > 3D Assets > Blender,1400,1,20,0.683,0.0,0.0,0.0,1,0,https://prochitecture.gumroad.com/l/blender-osm,1400,"Blosm for Blender: Google 3D cities, OpenStreetMap, terrain Prochitect"
curic,https://curic.gumroad.com,15,15,2,3D > 3D Assets > SketchUp,1333,15,21,0.6503,15.02,4.9,99.14,3,0,https://curic.gumroad.com/l/face_knife,567,Curic Face Knife Curic - SketchUp Extensions Top creator 4.9 (567) £0.
kittomatic,https://kittomatic.gumroad.com,1,8,8,3D > VRChat > Worlds > Udon 2,1300,1,22,0.6342,35.05,35.05,35.05,0,0,https://kittomatic.gumroad.com/l/Novabeast,1300,Novabeast [VRChat Avatar] The Novabeasts are dragon-like beings. Their
pointlesscreations,https://pointlesscreations.gumroad.com,10,12,2,3D > VRChat > Avatar Systems,1297,10,23,0.6328,3.0,2.01,8.01,1,0,https://pointlesscreations.gumroad.com/l/Ghost,677,Ghost Follower [VRChat] Pointless Creations 5.0 (677) £0.00+
bartoszstyperek,https://bartoszstyperek.gumroad.com,2,4,3,3D > 3D Assets > Blender,1213,2,24,0.5918,46.06,40.05,52.08,0,0,https://bartoszstyperek.gumroad.com/l/hairtool,989,Hair Tool for Blender bartoszstyperek Top creator 4.9 (989) £38.67+
kyletwebster,https://kyletwebster.gumroad.com,2,2,2,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,1209,2,25,0.5898,1.0,1.0,1.0,1,0,https://kyletwebster.gumroad.com/l/ZHvXw,662,Kyle's Very Nice Paper Layer Kyle T Webster Top creator 5.0 (662) £0.7
bluesssatan,https://bluesssatan.gumroad.com,2,5,4,Drawing & Painting > Digital Illustration > Illustration Brushes,1124,2,26,0.5484,12.7,7.78,17.61,0,0,https://bluesssatan.gumroad.com/l/OJpdF,1100,Bluesssatan brush set for Procreate app Bluesssatan Top creator 4.8 (1
ghostly,https://ghostly.gumroad.com,8,12,5,Gaming,1112,8,27,0.5425,40.05,8.01,40.08,0,0,https://ghostly.gumroad.com/l/mamagen,642,"Ghostly [ Mama-Gen ] Introducing Ghostly's MamaGen, a motherly beast o"
noahnuebling,https://noahnuebling.gumroad.com,1,6,6,3D > VRChat > Worlds > Udon 2,1100,1,28,0.5367,2.99,2.99,2.99,0,0,https://noahnuebling.gumroad.com/l/mmfinappusd,1100,Mac Mouse Fix Noah Nuebling 4.9 (1.1K) £2.22
shatteredfur,https://shatteredfur.gumroad.com,1,1,1,3D > 3D Assets > Unity,1100,1,29,0.5367,0.0,0.0,0.0,1,0,https://shatteredfur.gumroad.com/l/vrctoggle,1100,VRChat Toggle Assistant Shatter 4.9 (1.1K) €0+
alber,https://alber.gumroad.com,2,3,3,3D > 3D Modeling,1096,2,30,0.5347,42.55,40.05,45.06,0,0,https://alber.gumroad.com/l/Hyenid,876,Hyenid VRChat Avatar alber 5.0 (876) £29.74
reachvaldo,https://reachvaldo.gumroad.com,1,2,2,Business & Money > Entrepreneurship > Courses,1000,1,31,0.4879,0.0,0.0,0.0,1,0,https://reachvaldo.gumroad.com/l/PromptMastery,1000,GPT-4 Engineering Mastery 2.0 Valdo Top creator 4.9 (1K) £0.00+
pesmaster,https://pesmaster.gumroad.com,1,1,1,3D > AR/VR > Spark AR Studio,985,1,32,0.4806,17.31,17.31,17.31,0,0,https://pesmaster.gumroad.com/l/GmsQY,985,PES Master Plus Support PES Master and the Kit Creators while benefiti
amirfl,https://amirfl.gumroad.com,1,1,1,Education,942,1,33,0.4596,0.0,0.0,0.0,1,0,https://amirfl.gumroad.com/l/TwMal,942,PilotsCafe's IFR Quick-Review Study Guide Pilotscafe's IFR Quick-Revie
cuttothepoint,https://cuttothepoint.gumroad.com,3,4,3,Films > Video Production & Editing > Video Assets & Loops > Premiere Pro,928,2,34,0.4527,0.0,0.0,0.0,3,0,https://cuttothepoint.gumroad.com/l/EM2,585,Essential Motion 2.0 - World-class Premiere Pro Motion Presets Piotr T
masterxeon1001,https://masterxeon1001.gumroad.com,1,1,1,3D > 3D Modeling,925,1,35,0.4513,37.05,37.05,37.05,0,0,https://masterxeon1001.gumroad.com/l/hopscutter,925,Hard Ops / Boxcutter Ultimate Bundle (#b3d) Whatis this? (vid)This is
max2712,https://max2712.gumroad.com,6,7,2,Gaming,895,6,36,0.4366,5.76,5.18,5.76,0,0,https://max2712.gumroad.com/l/scania_ng_dc13,312,2019 Scania NextGen 500 DC13 Sound Pack Max2712 Sound Design 4.9 (312)
studenalbatroz,https://studenalbatroz.gumroad.com,2,2,1,Gaming,884,2,37,0.4313,25.04,10.02,40.06,0,1,https://studenalbatroz.gumroad.com/l/oiUZL,822,"World of Warcraft: From 0 to 10,000,000 Gold -A step-by-step Gold Guid"
michafrar,https://michafrar.gumroad.com,1,2,2,Drawing & Painting > Artwork & Commissions,859,1,38,0.4191,10.02,10.02,10.02,0,0,https://michafrar.gumroad.com/l/pixel-logic,859,Pixel Logic - A Guide to Pixel Art Michafrar Top creator 5.0 (859) £7.
bloggerstore,https://bloggerstore.gumroad.com,4,4,1,Design > UI & Web > HTML,850,4,39,0.4147,21.04,18.01,21.04,0,0,https://bloggerstore.gumroad.com/l/seonext,244,SEO Next - Flexible & Blog Blogger Template BTO Themes 4.9 (244) £15.6
proedit,https://proedit.gumroad.com,6,6,4,Films > Video Production & Editing > LUTs,840,6,40,0.4098,36.94,19.62,98.12,1,0,https://proedit.gumroad.com/l/freelut,790,Free Cinematic LUT ProEdit 4.9 (790) £0.00+
josan,https://josan.gumroad.com,1,1,1,Drawing & Painting > Artwork & Commissions,836,1,41,0.4079,4.62,4.62,4.62,0,0,https://josan.gumroad.com/l/FkSS,836,The Future is Now - Neon Rising Death_Burger Unit B378 5.0 (836) £3.43
pawsitivelyaesthetic,https://pawsitivelyaesthetic.gumroad.com,1,1,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Procreate,834,1,42,0.4069,0.0,0.0,0.0,1,0,https://pawsitivelyaesthetic.gumroad.com/l/fwurv,834,"A Must Have - 34 Realistic Pencil Brushes For Procreate, Sketching, Di"
sophiejantak,https://sophiejantak.gumroad.com,5,5,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Blender,776,5,43,0.3786,5.01,5.01,5.01,3,0,https://sophiejantak.gumroad.com/l/nLEie,447,Grease Pencil traditional ink brush and texture pack for Blender Decem
ghkim0045,https://ghkim0045.gumroad.com,2,4,2,Drawing & Painting > Digital Illustration > Illustration Brushes,774,2,44,0.3776,5.01,5.01,5.01,1,0,https://ghkim0045.gumroad.com/l/COFE_PencilPack,754,COFE's Ultimate Pencil Pack | Ver 1.0 | Procreate COFE 4.8 (754) £0.00
ittaimanero,https://ittaimanero.gumroad.com,8,22,4,Drawing & Painting > Digital Illustration > Illustration Brushes > Procreate,741,8,45,0.3615,24.0,20.0,42.0,0,0,https://ittaimanero.gumroad.com/l/ThickPaintforProcreate,177,Thick Paint: An Oil Painting Brush Set for Procreate Manero Brushes To
airtight,https://airtight.gumroad.com,2,6,4,Design > Graphics,694,2,46,0.3386,36.55,24.04,49.07,0,0,https://airtight.gumroad.com/l/kqeYS,613,Mosh-Pro Upgrade your Glitching with Mosh-Pro. Unlimited realtime effe
angelarium,https://angelarium.gumroad.com,2,2,1,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,694,2,47,0.3386,0.0,0.0,0.0,2,0,https://angelarium.gumroad.com/l/sizeflow1,512,Size Flow Brushes Peter Mohrbacher 5.0 (512) £0.00+
warrenwolfy,https://warrenwolfy.gumroad.com,1,2,2,3D > 3D Assets > Unity,690,1,48,0.3366,0.0,0.0,0.0,1,0,https://warrenwolfy.gumroad.com/l/atntv,690,Warren's Fast Fur Shader Warren 4.9 (690) £0.00+
frenden,https://frenden.gumroad.com,1,2,2,Drawing & Painting > Digital Illustration > Illustration Textures & Patterns,688,1,49,0.3357,15.02,15.02,15.02,0,0,https://frenden.gumroad.com/l/clipstudio,688,FRENDEN'S 800+ CLIP STUDIO BRUSHES FRENDEN 4.9 (688) £11.15
alexruskman,https://alexruskman.gumroad.com,2,3,2,Photography > Photo Presets & Actions,682,2,50,0.3327,41.55,41.55,41.55,1,0,https://alexruskman.gumroad.com/l/alexruskmankodachrome64,368,Free Lightroom Preset - Kodak Kodachrome 64 Preset for Lightroom | Lig
daub,https://daub.gumroad.com,2,2,2,Design > Print & Packaging,680,2,51,0.3318,19.03,14.99,23.07,0,0,https://daub.gumroad.com/l/EkMc,631,DAUB® SuperBundle - 572+ Pro Tools and 60+ Textures for Clip Studio Pa
gr44,https://gr44.gumroad.com,2,2,1,Films > Video Production & Editing > Video Assets & Loops,675,2,52,0.3293,14.02,14.02,14.02,1,0,https://gr44.gumroad.com/l/QTskK,656,Seamless Transitions for DaVinci Resolve by GR-44 - Free Demo Pack GR-
environmentdesign,https://environmentdesign.gumroad.com,9,9,3,3D > 3D Assets > ZBrush,674,9,53,0.3288,7.02,4.0,50.08,0,0,https://environmentdesign.gumroad.com/l/jGBjA,170,ZBrush - 35 Seam/Stitch Brushes This is a Seam/Stitch alpha/brush set
pamgregory,https://pamgregory.gumroad.com,1,1,1,Films,665,1,54,0.3244,15.03,15.03,15.03,0,0,https://pamgregory.gumroad.com/l/FHjOZ,665,Two-part Astrology Video Tutorial by Pam Gregory Pam Gregory Top creat
eternalmemories,https://eternalmemories.gumroad.com,7,10,2,3D > Avatars > Female,655,7,55,0.3196,35.05,25.04,40.05,0,0,https://eternalmemories.gumroad.com/l/Zephyr,184,Zephyr (PC & QUEST) Eternal Memories 5.0 (184) £18.59
jamajurabaev,https://jamajurabaev.gumroad.com,5,7,4,3D > Textures > PBR,641,5,56,0.3127,49.07,30.05,250.45,0,0,https://jamajurabaev.gumroad.com/l/tOWta,356,Quick Shape Jama Jurabaev Top creator 4.8 (356) £22.31
chuckcg,https://chuckcg.gumroad.com,3,3,3,3D > 3D Assets > Props,638,3,57,0.3113,7.51,5.01,10.02,1,0,https://chuckcg.gumroad.com/l/joGTC,628,Nature Asset Pack Chuck_CG 4.9 (628) £0.00+
dvassallo,https://dvassallo.gumroad.com,2,2,2,Business & Money > Marketing & Sales > Social Media,614,2,58,0.2996,237.5,25.0,450.0,0,0,https://dvassallo.gumroad.com/l/twitter-audience,425,Everyone Can Build a Twitter Audience Daniel Vassallo Top creator 4.7
ftus,https://ftus.gumroad.com,2,5,4,Music & Sound Design,612,2,59,0.2986,17.5,10.0,25.0,0,0,https://ftus.gumroad.com/l/allinonebundle,601,ALL IN ONE SOUND LIBRARY BUNDLE THE TRUSTED SOUND LIBRARY FOR ALL GLOB
galshir,https://galshir.gumroad.com,1,1,1,3D > Character Design,601,1,60,0.2932,19.03,19.03,19.03,0,0,https://galshir.gumroad.com/l/gal-shir-pose,601,Pose - Online app for character guidelines by Gal Shir Gal Shir 4.4 (6
kritskiy,https://kritskiy.gumroad.com,3,5,3,Photography > Photo Presets & Actions,593,3,61,0.2893,15.03,15.03,19.62,0,0,https://kritskiy.gumroad.com/l/PT2,313,Perspective Tools V2 Create perspective and parallel grids in one clic
markcreator,https://markcreator.gumroad.com,5,7,4,3D > VRChat > Tools,580,5,62,0.283,20.03,20.03,20.03,1,0,https://markcreator.gumroad.com/l/Polytool,451,Polytool Markcreator 4.7 (451) £0.00
aeno,https://aeno.gumroad.com,1,1,1,Design > Graphics > Assets & Templates,572,1,63,0.2791,0.0,0.0,0.0,1,0,https://aeno.gumroad.com/l/assets,572,"v1.11.11: Discord Server Making Assets Pack: Logos, Templates, Role Ic"
thearmoredgarage,https://thearmoredgarage.gumroad.com,1,7,7,3D > VRChat > Worlds > Udon 2,543,1,64,0.2649,40.05,40.05,40.05,0,0,https://thearmoredgarage.gumroad.com/l/LMdGL,543,Armorsmith Designer The Armored Garage 4.4 (543) £29.74
byvegalia,https://byvegalia.gumroad.com,6,6,1,Design > Print & Packaging > Illustrator,537,2,65,0.262,12.01,5.01,35.05,1,0,https://byvegalia.gumroad.com/l/wyjzmi,477,Ibis Paint Trial Brushes by Vegalia Vegalia Top creator 4.7 (477) £0.0
zacretz,https://zacretz.gumroad.com,3,3,3,Drawing & Painting > Digital Illustration > Illustration Brushes > Photoshop,537,3,66,0.262,80.12,10.02,150.21,1,0,https://zacretz.gumroad.com/l/nyvwz,467,Brushes v1 My current brush set! Works in Photoshop. 27 brushesvideo t
lifemathmoney,https://lifemathmoney.gumroad.com,3,7,6,Business & Money,522,3,67,0.2547,179.99,100.0,179.99,0,0,https://lifemathmoney.gumroad.com/l/TwitterGuide,496,The Art of X: Build a Business That Makes You $100/Day (VERSION 38: UP
enhancedinfo,https://enhancedinfo.gumroad.com,5,16,8,Fitness & Health > Sports,495,4,68,0.2415,28.73,11.54,400.71,0,1,https://enhancedinfo.gumroad.com/l/sarmbook,332,THE SARM HANDBOOK - A How-To Guide to SARMs ENHANCEDINFO 5.0 (332) £21
olguioo,https://olguioo.gumroad.com,8,17,7,Drawing & Painting > Digital Illustration > Illustration Brushes > Procreate,484,8,69,0.2361,15.02,5.01,70.12,0,0,https://olguioo.gumroad.com/l/ePRmE,187,Procreate Pack VOL.3 | Markers & Pencil colors Olguioo 5.0 (187) £11.1
rankers,https://rankers.gumroad.com,1,1,1,Films > Movie > Action & Adventure,482,1,70,0.2352,5.0,5.0,5.0,0,0,https://rankers.gumroad.com/l/nhieu,482,RANKERS EPISODE 1 Rankers 4.8 (482) £3.71
johnnathancordy,https://johnnathancordy.gumroad.com,11,19,3,Music & Sound Design > Instruments > Guitar,481,11,71,0.2347,6.73,2.69,6.73,0,0,https://johnnathancordy.gumroad.com/l/helix,285,Helix and HX Stomp General Presets This is my main folder of presets f
cole487,https://cole487.gumroad.com,3,7,5,Drawing & Painting > Digital Illustration > Illustration Brushes,480,3,72,0.2342,5.01,5.01,5.01,0,0,https://cole487.gumroad.com/l/byjco,254,Coles Pencil Pack (PROCREATE) Cole 5.0 (254) £3.72+
promptgeek,https://promptgeek.gumroad.com,3,5,5,Films > Movie > Animation,477,3,73,0.2327,40.06,5.0,40.06,0,0,https://promptgeek.gumroad.com/l/photoreal,362,Creating Photorealistic Images With AI: Using Stable Diffusion PromptG
zekk,https://zekk.gumroad.com,15,20,6,3D > 3D Assets > Unity > Shaders,467,13,74,0.2278,13.02,5.01,20.03,2,0,https://zekk.gumroad.com/l/HologramProjector,101,Hologram Projector (VRChat) Zekk 5.0 (101) £9.67+
kushiro,https://kushiro.gumroad.com,1,1,1,3D > 3D Modeling,465,1,75,0.2269,20.03,20.03,20.03,0,0,https://kushiro.gumroad.com/l/VthLyO,465,Grid Modeler (blender addon) Kushiro 4.9 (465) £14.87+
dannymac,https://dannymac.gumroad.com,3,3,3,3D > 3D Assets > Blender,464,3,76,0.2264,55.58,12.01,99.14,1,0,https://dannymac.gumroad.com/l/stylizedhead,333,How to Sculpt a Stylized Head in Blender It’s time to Level Up!You’ve
ifair,https://ifair.gumroad.com,7,9,3,3D > Textures > Eyes,462,7,77,0.2254,10.02,10.02,15.02,0,0,https://ifair.gumroad.com/l/sdljc,174,"""Lover Eyes"" | Texture Pack Fair 5.0 (174) £7.44"
sanax,https://sanax.gumroad.com,1,2,2,3D > VRChat > Worlds > Udon 2,462,1,78,0.2254,23.08,23.08,23.08,0,0,https://sanax.gumroad.com/l/fh2022premium,462,"Volvo FH 2022 Premium by Sanax ETS2 MOD ver. 1.14.2 ""Rigid Swap Body O"
tednaiman,https://tednaiman.gumroad.com,2,2,2,Fitness & Health > Weight Loss & Dieting,460,2,79,0.2244,24.55,20.04,29.05,0,0,https://tednaiman.gumroad.com/l/thepediet,448,The P:E Diet — digital download book in PDF format Ted Naiman 4.9 (448
whereisweatherby,https://whereisweatherby.gumroad.com,1,1,1,Photography,456,1,80,0.2225,49.09,49.09,49.09,0,0,https://whereisweatherby.gumroad.com/l/bgXdo,456,Pro Panel John Weatherby 4.9 (456) £36.45
malcolm341,https://malcolm341.gumroad.com,2,2,2,3D > 3D Assets > Maya,450,2,81,0.2195,30.53,16.01,45.05,0,0,https://malcolm341.gumroad.com/l/cZvxZ,432,Mel Script Mega Pack malcolm341 Top creator 5.0 (432) £33.45+
skulli,https://skulli.gumroad.com,35,35,17,3D > 3D Assets > Avatar Components > Ears,449,35,82,0.2191,6.01,2.01,45.06,15,0,https://skulli.gumroad.com/l/glittershapes,43,Glitter Shapes Pack - VRChat //✩──────────────────────⋆ ˚✮⁺₊⋆★ ⁺₊⋆ ˚✮⋆
truongcgartist,https://truongcgartist.gumroad.com,6,6,4,3D > Rigging,444,5,83,0.2166,1.0,1.0,49.07,0,0,https://truongcgartist.gumroad.com/l/kkAJ,182,Maya Dragon Rig (Jaemin Dragon) Truong CG Artist Top creator 4.9 (182)
bylokki,https://bylokki.gumroad.com,7,16,3,Design > Icons > iOS Customization,434,7,84,0.2117,12.01,12.01,12.01,0,0,https://bylokki.gumroad.com/l/vision-icons,244,Vision iOS App Icons Lokki 4.8 (244) £8.92+
wileskazambrano,https://wileskazambrano.gumroad.com,1,1,1,Films > Movie > Faith & Spirituality,434,1,85,0.2117,0.0,0.0,0.0,1,0,https://wileskazambrano.gumroad.com/l/aehvfh,434,PLANIFICA TU 2024 CON DIOS Wileska Zambrano 5.0 (434) £0.00+
violentpainter,https://violentpainter.gumroad.com,13,15,5,3D > 3D Assets > Avatar Components,414,12,86,0.202,7.02,4.2,15.02,0,0,https://violentpainter.gumroad.com/l/vfx-firebreathing,164,FX -- Fire-Breathing & Flame Sneeze Violentpainter 5.0 (164) £5.21+
hustlingforever,https://hustlingforever.gumroad.com,1,1,1,Business & Money > Gigs & Side Projects,414,1,87,0.202,45.06,45.06,45.06,0,0,https://hustlingforever.gumroad.com/l/jbnNZ,414,Twitter Cash Machine - Master Affiliate Marketing On Twitter Hustlingf
idbi,https://idbi.gumroad.com,35,37,13,3D > Avatars > Female,408,29,88,0.1991,7.02,3.0,30.05,0,0,https://idbi.gumroad.com/l/Astra,52,FREE - ღAstra (PC/Quest/VRCFT) IdbI 5.0 (52) £22.31
farazahmed,https://farazahmed.gumroad.com,1,1,1,Business & Money > Gigs & Side Projects,393,1,89,0.1917,0.0,0.0,0.0,1,0,https://farazahmed.gumroad.com/l/upworkguide,393,The Ultimate Upwork Guide by Faraz Ahmed Faraz Ahmed 5.0 (393) £0.00+
nelebogaerts,https://nelebogaerts.gumroad.com,1,2,2,Photography > Photo Presets & Actions,393,1,90,0.1917,39.26,39.26,39.26,0,0,https://nelebogaerts.gumroad.com/l/bxwla,393,Lightroom Analog Preset Pack Nele Bogaerts 4.8 (393) £29.15+
kudalyn,https://kudalyn.gumroad.com,25,25,14,3D > 3D Assets > Avatar Components > Bases,392,25,91,0.1912,8.01,3.0,20.03,0,0,https://kudalyn.gumroad.com/l/kitsune,45,Kuda's Jex DLC - Kitsune Kudalyn's Creations 5.0 (45) £14.87+
christiangracemagic,https://christiangracemagic.gumroad.com,1,1,1,3D > AR/VR,392,1,92,0.1912,17.49,17.49,17.49,0,1,https://christiangracemagic.gumroad.com/l/magicmonthly,392,MAGIC MONTHLY by Christian Grace Welcome to Magic Monthly by Christian
jorgenvrc,https://jorgenvrc.gumroad.com,11,12,9,3D > 3D Assets > Accessories > Jewelry,391,8,93,0.1908,10.0,8.0,25.0,0,0,https://jorgenvrc.gumroad.com/l/oJHtV,345,Decorated Tails JorgenVRC 5.0 (345) $10
philpl,https://philpl.gumroad.com,1,1,1,Design > Fonts,390,1,94,0.1903,33.67,33.67,33.67,0,0,https://philpl.gumroad.com/l/dank-mono,390,Dank Mono: The coding typeface for aesthetes A typeface designed for c
learnupstairs,https://learnupstairs.gumroad.com,4,4,2,Design > Architecture,383,4,95,0.1869,12.01,12.01,12.01,1,0,https://learnupstairs.gumroad.com/l/clxxl,204,Basic Tree Silhouettes - Brush Set for PS Upstairs 5.0 (204) £0.00+
akittu,https://akittu.gumroad.com,2,2,1,3D > Avatars,381,2,96,0.1859,0.0,0.0,0.0,2,0,https://akittu.gumroad.com/l/stylizedexperiment,339,Akittu's Stylized Experiment akittu 5.0 (339) £0.00+
richburlew,https://richburlew.gumroad.com,12,16,3,Comics & Graphic Novels,379,12,97,0.1849,14.52,1.0,19.03,0,0,https://richburlew.gumroad.com/l/ootsgdgu,55,The Order of the Stick: Good Deeds Gone Unpunished (Book 1/2) Welcome
aidenart,https://aidenart.gumroad.com,7,15,4,3D > 3D Assets > Avatar Components,372,7,98,0.1815,10.01,8.0,12.01,0,0,https://aidenart.gumroad.com/l/zinika,130,VRChat Zinika hair ✖️ AIDENFUR 4.9 (130) £8.92+
louiseweard,https://louiseweard.gumroad.com,2,5,4,Films > Movie,371,2,99,0.181,5.0,5.0,5.0,0,0,https://louiseweard.gumroad.com/l/castration-movie,343,Castration Movie Louise Weard 4.9 (343) CAD$5+
ksami,https://ksami.gumroad.com,1,1,1,3D > 3D Assets > Blender,370,1,100,0.1805,0.0,0.0,0.0,1,0,https://ksami.gumroad.com/l/QRemeshify,370,QRemeshify Ksami 4.9 (370) SGD$0+
23mink,https://23mink.gumroad.com,2,2,2,3D > Textures > Face,364,2,101,0.1776,1.0,1.0,1.0,1,0,https://23mink.gumroad.com/l/PainterlyTexA,208,Painterly-Style Textures for Amelia Head (FREE VRChat Asset) CODE IN D
blender-archipack,https://blender-archipack.gumroad.com,2,3,3,3D > 3D Assets > Blender,359,2,102,0.1751,34.03,11.54,56.53,0,0,https://blender-archipack.gumroad.com/l/ZRMyP,295,Blender-Archipack Stephen L. 4.7 (295) £41.98
hirabiki,https://hirabiki.gumroad.com,2,3,3,3D > 3D Assets > Unity,355,2,103,0.1732,12.52,10.02,15.02,0,0,https://hirabiki.gumroad.com/l/rpnel,347,VRCLens: VRChat Camera Extension for Desktop and VR Hirabiki 5.0 (347)
glukoz,https://glukoz.gumroad.com,2,5,4,3D > 3D Assets,346,2,104,0.1688,41.55,39.05,44.06,0,0,https://glukoz.gumroad.com/l/uvpackmaster,334,UVPackmaster PRO for Blender (latest) UVPackmaster 4 FAQFor answers to
wiwikuan,https://wiwikuan.gumroad.com,2,5,3,Music & Sound Design > Instruments > Piano,342,2,105,0.1669,54.0,49.0,59.0,0,0,https://wiwikuan.gumroad.com/l/improv-101,270,即興幼幼班！Wiwi 設計的鋼琴即興訓練課程，31 天讓你成為會即興的人～ Wiwi Kuan (官大為) Top creator 5.0
pavelbarnev,https://pavelbarnev.gumroad.com,10,12,3,3D > 3D Assets > Maya,331,10,106,0.1615,50.07,20.03,500.71,0,0,https://pavelbarnev.gumroad.com/l/OverRigBasic,99,basic scripts for the OverRig animation method Pavel Barnev Top creato
