seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
pinkeystudio,https://pinkeystudio.gumroad.com,2,2,1,Design > Graphics > Marketing & Social,21,2,778,0.0102,9.01,9.01,9.01,1,0,https://pinkeystudio.gumroad.com/l/shrfa,20,Free Pinterest Pin Templates + Pinterest SEO & Pin Design Checklist Pi
rawcaptureguide,https://rawcaptureguide.gumroad.com,2,2,2,Photography > Photo Courses,21,2,779,0.0102,24.04,19.03,29.05,0,0,https://rawcaptureguide.gumroad.com/l/mastercaptureone2026,11,Master Capture One (2026) rawcaptureguide 5.0 (11) £21.57
splitsuit,https://splitsuit.gumroad.com,2,2,1,Education > Math,21,2,780,0.0102,124.22,49.09,199.35,0,0,https://splitsuit.gumroad.com/l/the1percent,20,The One Percent (Poker Course) Poker is a game that’s all ego and bluf
afyafarm,https://afyafarm.gumroad.com,1,1,1,Other,21,1,781,0.0102,30.05,30.05,30.05,0,0,https://afyafarm.gumroad.com/l/fxoabu,21,"Small plot, BIG POT: Mastering container & Raised bed gardening! Afya"
alanfrei,https://alanfrei.gumroad.com,1,1,1,Business & Money > Entrepreneurship > Resources,21,1,782,0.0102,0.0,0.0,0.0,1,0,https://alanfrei.gumroad.com/l/startup-guide-de,21,Alans Start-up Guide (Deutsch) Alan Frei 4.8 (21) £0.00+
bbdthefilm,https://bbdthefilm.gumroad.com,1,1,1,Films > Documentary,21,1,783,0.0102,7.02,7.02,7.02,0,0,https://bbdthefilm.gumroad.com/l/brokebusteddisgusted,21,"Broke, Busted, and Disgusted: The True Costs of College Broke Busted &"
fabianarbor,https://fabianarbor.gumroad.com,1,3,3,Design > Graphics > Mockups > Illustrator,21,1,784,0.0102,109.15,109.15,109.15,0,0,https://fabianarbor.gumroad.com/l/flash,21,⚡️ Flash Fabian Arbor 4.5 (21) £81.05
gayle,https://gayle.gumroad.com,1,1,1,Films > Documentary,21,1,785,0.0102,9.99,9.99,9.99,0,0,https://gayle.gumroad.com/l/launm,21,"Look At Us Now, Mother! documentary Kirschenbaum Productions 5.0 (21)"
keyframechef,https://keyframechef.gumroad.com,1,1,1,3D > Character Design,21,1,786,0.0102,0.0,0.0,0.0,1,0,https://keyframechef.gumroad.com/l/StylizedFemaleBasemesh,21,Stylized Female Basemesh Keven 5.0 (21) £0.00+
mikelfare,https://mikelfare.gumroad.com,1,1,1,Design > Graphics > Mockups > Canva,21,1,787,0.0102,45.01,45.01,45.01,0,0,https://mikelfare.gumroad.com/l/MockUpsKDP,21,MOCKUPS KDP Mikel Fare 5.0 (21) £33.42
quotologies,https://quotologies.gumroad.com,1,2,2,Design > Branding > Social Media,21,1,788,0.0102,60.08,60.08,60.08,0,0,https://quotologies.gumroad.com/l/bwnzvh,21,Quotologies Growth Story – Create Reels from YouTube & AI (Standard Pa
shawbot,https://shawbot.gumroad.com,1,4,4,Music & Sound Design > Sound Design > Plugins > Ableton Live,21,1,789,0.0102,19.03,19.03,19.03,0,0,https://shawbot.gumroad.com/l/BLOOMER,21,BLOOMER v2 - Emotional MIDI Chord Engine The Freequency 4.9 (21) £14.1
polygoncat,https://polygoncat.gumroad.com,3,7,4,3D > 3D Assets > Clothing,20,3,790,0.0098,10.0,8.0,10.0,0,0,https://polygoncat.gumroad.com/l/PrismaBodysuit,17,Prisma Bodysuit Polycat 4.7 (17) $10+
