url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://dsculptor.gumroad.com/l/exportiges,tbduc,Export IGES,Digital Sculptors,https://dsculptor.gumroad.com,10.00,False,False,,101,4.5,,4,23,3d/3d-assets/blender
https://dummics.gumroad.com/l/chainedbh,pnqdg,Chained Body Harness,Dummics's Store,https://dummics.gumroad.com,4.00,False,True,44,3,5.0,14.67,15,75,3d/3d-assets/accessories/harnesses
https://dummics.gumroad.com/l/leather-jacket,egqvj,Leather Jacket,Dummics's Store,https://dummics.gumroad.com,15.00,False,False,,0,0.0,,16,78,3d/3d-assets/clothing/jackets
https://ebookshop10.gumroad.com/l/hnsvs,hnsvs,رحلة شفاء لمدة 30 يومًا - مروة صعب,ebookshop10,https://ebookshop10.gumroad.com,18.99,False,False,,8,4.9,,,,3d
https://eggly69.gumroad.com/l/ChaiHornsbyBlackly69,bffUv,Chain Horns *Commercial License*,Eggly69,https://eggly69.gumroad.com,9.00,False,False,,3,5.0,,75,771,3d/3d-assets/avatar-components/horns
https://eggly69.gumroad.com/l/CyberMask,dvfsri,CyberMask *Commercial License*,Eggly69,https://eggly69.gumroad.com,9.00,False,False,,10,5.0,,75,764,3d/3d-assets/accessories/masks
https://eggly69.gumroad.com/l/Ears-and-Tail-Pack,nSWNu,Ears and Tail Collection *Commercial License*,Eggly69,https://eggly69.gumroad.com,11.00,False,False,,7,5.0,,75,767,3d/3d-assets/avatar-components/ears
https://eggnogz.gumroad.com/l/HuskyEars,aqgaki,Husky Ears [Personal & Commerical Use],EggNog,https://eggnogz.gumroad.com,5.00,False,True,70,5,5.0,14.00,,,3d/3d-assets/avatar-components/ears
https://elaligato.gumroad.com/l/chubby_choker,ojytf,Spiked Heart Choker (rigged)(10k-20k triangles),Chubbytoad,https://elaligato.gumroad.com,5.00,False,True,10,1,5.0,10.00,9,60,3d/3d-assets/accessories/chokers
https://elaligato.gumroad.com/l/chubby_rosechoker,prnjc,Rose Choker (7k triangles),Chubbytoad,https://elaligato.gumroad.com,5.00,False,True,12,0,0.0,,10,61,3d/3d-assets/accessories/chokers
https://elaligato.gumroad.com/l/wnaump,wnaump,Japanese Hair pin Flowers (rigged)(7092 tris),Chubbytoad,https://elaligato.gumroad.com,7.00,False,True,7,0,0.0,,10,61,3d/3d-assets/accessories/jewelry
https://eldritchelias.gumroad.com/l/xipczs,xipczs,Detailed Elk Antlers,Eldritch Elias,https://eldritchelias.gumroad.com,5.00,False,True,150,7,4.9,21.43,3,27,3d/3d-assets/avatar-components/horns
https://eliasyoder.gumroad.com/l/manual,shzoow,The Amish Home Savings Manual,Elias Yoder,https://eliasyoder.gumroad.com,47.00,False,False,,143,5.0,,,,other
https://elizabytevr.gumroad.com/l/AnimeHead,oyqxut,"Eliza Anime Head - [VRChat, VTuber, ARKit, Unified Expressions, MMD]",E L I Z A,https://elizabytevr.gumroad.com,0.00,True,True,276,73,5.0,3.78,13,823,3d/3d-assets/avatar-components/heads
https://elizmill.gumroad.com/l/Universalbrushes,ixsraih,🎀 Universal Brush for Line Art and Blend for PROCREATE + quick video guide,Eliza Miller,https://elizmill.gumroad.com,2.00,False,False,,23,4.7,,12,53,3d
https://ellenescapes.gumroad.com/l/czmhuf,czmhuf,Fujifilm Preset (Lightroom Mobile),Ellen Escapes,https://ellenescapes.gumroad.com,2.99,False,False,,41,4.0,,11,96,photography
https://ellenescapes.gumroad.com/l/mmcxm,mmcxm,Riviera Film Summer Preset (Lightroom),Ellen Escapes,https://ellenescapes.gumroad.com,2.99,False,False,,6,4.5,,11,131,3d/3d-assets/3ds-max
https://elvenessentials1111.gumroad.com/l/yeoibx,yeoibx,Golden Butterfly - 18k Gold Plated - Handmade - Feather Earrings ,Elven Essentials,https://elvenessentials1111.gumroad.com,45.00,False,False,,0,0.0,,,,3d/3d-assets/accessories/jewelry
https://emaillove.gumroad.com/l/email-love-figma-plugin,qlaciu,Email Love Figma Plugin → HTML Email Builder,Email Love,https://emaillove.gumroad.com,0.00,True,False,,6,5.0,,,,design
https://embercat.gumroad.com/l/catpiercings,tbnck,KhnfuCat Piercings,NeoEmberArts,https://embercat.gumroad.com,2.00,False,False,,2,5.0,,3,14,3d/3d-assets/accessories/jewelry
https://embracefx.gumroad.com/l/damagecontrol,ixbnjd,Damage Control - Ultimate Bundle (Early Birds Price!),Embrace FX,https://embracefx.gumroad.com,60.00,False,False,,2,5.0,,16,2725,3d/3d-assets
https://emilianopennisi.gumroad.com/l/zzqmt,zzqmt,Brain Recordings | Max For Live for Ableton and Push ,Emi liano,https://emilianopennisi.gumroad.com,49.00,False,True,285,50,5.0,5.70,9,127,music-and-sound-design
https://enhancedinfo.gumroad.com/l/advancedresearch,OUFeb,ADVANCED RESEARCH PROGRAM,ENHANCEDINFO,https://enhancedinfo.gumroad.com,47.00,False,False,,0,0.0,,16,777,fitness-and-health
https://enhancedinfo.gumroad.com/l/customcycleno,iOWUj,OPTIMIZED CYCLE COACHING,ENHANCEDINFO,https://enhancedinfo.gumroad.com,400.00,False,False,,51,5.0,,15,726,3d
https://enhancedinfo.gumroad.com/l/innersanctum,lsIYq,THE INNER SANCTUM - by enhancedinfo,ENHANCEDINFO,https://enhancedinfo.gumroad.com,0.00,True,False,,67,4.9,,15,710,3d/3d-assets/3ds-max
https://erasers45.gumroad.com/l/blockblender2,ecvbuo,VoxelVision IV (formerly BlockBlender),Erasers45-Studios,https://erasers45.gumroad.com,0.00,True,True,9090,37,4.9,245.68,,,3d
https://erythrina.gumroad.com/l/nardoantlers,xnjgpl,Free Nardoragon Antlers,Erythrina,https://erythrina.gumroad.com,0.00,True,False,,41,4.8,,9,37,3d/3d-assets/avatar-components/horns
https://everstitchstudio.gumroad.com/l/DenimHandbag,xhlvz,Denim Handbag Sewing Pattern Recycled Jeans Project (PDF + Video),EverstitchStudio,https://everstitchstudio.gumroad.com,5.98,False,False,,0,0.0,,,,3d/3d-assets/accessories/bags
https://exlife.gumroad.com/l/acidcoat,krfpdf,acid coat,exlife,https://exlife.gumroad.com,15.00,False,True,9,0,0.0,,,,3d/3d-assets/clothing/jackets
https://exlife.gumroad.com/l/theriantag,brhrw,therian tag,exlife,https://exlife.gumroad.com,5.95,False,True,2,1,5.0,2.00,,,3d/3d-assets/accessories/jewelry
https://falsk.gumroad.com/l/bagharness,fblpgx,EYS Bag Harness (commercial),falsk,https://falsk.gumroad.com,999.00,False,False,,4,5.0,,31,847,3d/3d-assets/accessories/harnesses
https://faridmammadov.gumroad.com/l/G-Ready,uzwvxd,G-Ready - Game Ready Modeling Tools,Farid Mammadov,https://faridmammadov.gumroad.com,14.90,False,False,,90,5.0,,,,3d/3d-assets/blender
https://filippo02003.gumroad.com/l/nfphyb,nfphyb,Harness for Winterpaw Canine,Filippo,https://filippo02003.gumroad.com,15.00,False,True,24,1,5.0,24.00,7,34,3d/3d-assets/accessories/harnesses
https://firefluff3d.gumroad.com/l/bfciwt,bfciwt,Undies for the Awtter,Fire,https://firefluff3d.gumroad.com,5.00,False,False,,5,5.0,,,,3d/3d-assets/clothing/bottoms
https://firstgenwealth.gumroad.com/l/ebDbEN,ebDbEN,THE RUNNERS COMMUNITY ,First Generation Wealth Building,https://firstgenwealth.gumroad.com,0.00,True,False,,63,4.9,,,,education
https://flamesound.gumroad.com/l/vatra,ceeuzz,VATRA,Flame Sound,https://flamesound.gumroad.com,69.00,False,False,,32,5.0,,11,2736,3d/3d-assets/3ds-max
https://flormoomodels.gumroad.com/l/NovaBangs,sqxgp,(Novabeast) Blinding Bangs,Flormoo,https://flormoomodels.gumroad.com,5.00,False,True,181,4,5.0,45.25,9,29,3d/3d-assets/avatar-components/hair
https://flormoomodels.gumroad.com/l/NovaPunkHair,vmxyf,(Novabeast) Punky Hair,Flormoo,https://flormoomodels.gumroad.com,5.00,False,False,,2,5.0,,9,31,3d/3d-assets/avatar-components/hair
https://flormoomodels.gumroad.com/l/NovaScientistDress,fzpdh,Novabeast Chic Science Dress,Flormoo,https://flormoomodels.gumroad.com,10.00,False,True,48,3,5.0,16.00,9,30,3d/3d-assets/clothing/dresses
https://flormoomodels.gumroad.com/l/OttarooHarness,vwgeu,Ottaroo Harness,Flormoo,https://flormoomodels.gumroad.com,8.00,False,True,15,3,5.0,5.00,9,30,3d/3d-assets/accessories/harnesses
https://fluffyzarkus.gumroad.com/l/bodysuit,ekryw,Bodysuit for Novabeast,FluffyZarkus,https://fluffyzarkus.gumroad.com,5.00,False,False,,4,5.0,,3,10,3d/3d-assets/clothing/bodysuits
https://fluffyzarkus.gumroad.com/l/plague,bvxvj,Plague Doctor Mask for the Novabeast,FluffyZarkus,https://fluffyzarkus.gumroad.com,5.00,False,False,,2,5.0,,3,12,3d/3d-assets/accessories/masks
https://foolystuffz.gumroad.com/l/HeartPocketJeans,byyic,❥-┊ Heart Pocket Jeans ┊ Commercial Use,Fooly Stuffz⠀⠀⠀⠀⠀⠀,https://foolystuffz.gumroad.com,9.00,False,False,,0,0.0,,26,68,3d/3d-assets/clothing/bottoms
https://foolystuffz.gumroad.com/l/kittymask,wjymi,❥-┊ Kitty Mask ┊ Commercial Use,Fooly Stuffz⠀⠀⠀⠀⠀⠀,https://foolystuffz.gumroad.com,6.00,False,False,,0,0.0,,26,68,3d/3d-assets/accessories/masks
https://formularats.gumroad.com/l/uasxo,uasxo,All-In-One Collar (11 charms/tags/leash options!),FormulaRats,https://formularats.gumroad.com,4.00,False,False,,4,5.0,,52,1549,3d/3d-assets/accessories
https://foxipaws.gumroad.com/l/Calypso,vcgdn,Calypso Shark  - Aquatic Dragon Furry Hybrid Vrchat Facetracking 3.0 (PC + QUEST + Good Rank),FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,133,5.0,,37,11202,3d
https://foxipaws.gumroad.com/l/Celeste,deskii,Celeste Dragon - Furry Vrchat Avatar PC + QUEST Facetracking,FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,263,5.0,,37,11072,3d
