url,status,sales_count,ratings_count,price,fetched_at,currency,is_pwyw,pwyw_suggested,product_name,seller,note
https://wellimvel.gumroad.com/l/cutiekitasetbyvel,disclosed,7,1,1500.00,2026-08-26T16:36:04.088484+00:00,usd,yes,,[Temporarily unavailable] ♲ Cutie Kita ♲,wellimvel,
https://wellimvel.gumroad.com/l/softlyoutfitforjerrybyvel,disclosed,4,1,15.00,2026-08-26T16:36:09.117107+00:00,usd,yes,,♲ Softly Outfit For Jerry ♲,wellimvel,
https://wooddrone.gumroad.com/l/ravefit,disclosed,37,1,15.00,2026-08-26T16:36:14.908804+00:00,cad,no,,Rave.Fit (Alphazear Norspil Dergal Druffle Faelyn Fara Rex Fluffgan Kuda Bases Mayu Moonfang Nardoragon Novabeast Selumy Spiri'vali Sunclaw Viwi Vulper Waggan),wooddrone,
https://wooddrone.gumroad.com/l/ultrafit,disclosed,151,1,15.00,2026-08-26T16:36:19.687635+00:00,cad,no,,Ultra.Fit (Alphazear Northern Aspil Dergal Faelyn Fara Fluffgan Kuda Moonfang Nardo Nova Spirivali Viwi Vulper Waggan),wooddrone,
https://worldvr.gumroad.com/l/RolyWatch,disclosed,60,7,5.00,2026-08-26T16:36:24.685786+00:00,usd,yes,7.00,Roly Watch,worldvr,
https://xlevix.gumroad.com/l/ajkeej,disclosed,212,10,10.00,2026-08-26T16:36:29.800518+00:00,usd,yes,15.00,Trash collar,xlevix,
https://yonatanbary.gumroad.com/l/blendiniexporter,disclosed,203,7,49.00,2026-08-26T16:36:34.684360+00:00,usd,no,,Blendini: Export Any Geometry from Houdini to Blender,yonatanbary,
https://zekk.gumroad.com/l/AuroraHalo,disclosed,68,4,7.99,2026-08-26T16:36:39.510727+00:00,usd,yes,10.00,Aurora Shader Halo (VRChat),zekk,
https://zekk.gumroad.com/l/audiohalo,disclosed,323,20,5.00,2026-08-26T16:36:44.463031+00:00,usd,yes,5.00,Audio Halo (VRChat),zekk,
https://zeromaniac.gumroad.com/l/jpwcxr,disclosed,447,14,0.00,2026-08-26T16:36:49.318273+00:00,eur,yes,0.69,KitFox Fitted Simple Collar,zeromaniac,
https://zyonvr.gumroad.com/l/FoxTail,disclosed,11,1,10.00,2026-08-26T16:36:53.878825+00:00,gbp,yes,10.00,Fox Tail,zyonvr,
