node,slug,url,seller,cur,price,price_usd,nrat,n,stars,recurring,t
3D,3d,https://valuef.gumroad.com/l/vrchat-ground-shadow-ultra,valuef,£,7.7,10.37,19,19,5.0,False,VRChat Ground Shadow Shader for Ultra 🎮 Value 🌿 5.0 (19) £7.70
3D,3d,https://dextrovr.gumroad.com/l/DexProtect,dextrovr,£,14.87,20.03,227,227,4.8,False,Avatar Protection System for VRChat Dextro 4.8 (227) £14.87
3D,3d,https://alber.gumroad.com/l/Hyenid,alber,£,29.74,40.05,876,876,5.0,False,Hyenid VRChat Avatar alber 5.0 (876) £29.74
3D,3d,https://heartmarksman.gumroad.com/l/Supra_by_Heartmarksman,heartmarksman,€,35.0,40.4,22,22,5.0,False,Supra | Female/Femboy | PC + Quest + Opti | VRCFT & VRCFury Heartmarks
3D,3d,https://spacejackal.gumroad.com/l/JackalScaler,spacejackal,£,6.85,9.22,61,61,4.8,False,Jackal Scaling System [VRChat] Space Jackal 4.8 (61) £6.85+
3D,3d,https://heartmarksman.gumroad.com/l/Keiko_by_Heartmarksman,heartmarksman,€,35.0,40.4,12,12,5.0,False,Keiko | Female/Femboy | PC + Opti + Quest | VRCFT & VRCFury Heartmarks
3D,3d,https://heartmarksman.gumroad.com/l/Indigo_by_Heartmarksman,heartmarksman,€,35.0,40.4,25,25,5.0,False,Indigo | Female/Femboy | PC + Quest + Opti | VRCFT & VRCFury Heartmark
3D,3d,https://borovikmotion.gumroad.com/l/smart_layer,borovikmotion,£,48.33,65.09,26,26,5.0,False,Smart Layer v0.91.0 (Python Script for Maya) Slava Baravik Top creator
3D,3d,https://miccoli3d.gumroad.com/l/MergeMaster,miccoli3d,£,44.62,60.09,4,4,4.0,False,Merge Master - Blender addon miccoli3d 4.0 (4) £44.62 £33.46
3D,3d,https://foxipaws.gumroad.com/l/Calypso,foxipaws,£,26.03,35.05,133,133,5.0,False,Calypso Shark - Aquatic Dragon Furry Hybrid Vrchat Facetracking 3.0 (P
